runtime_domain	artifact_id	runtime_path	file_exists	file_size_bytes	sha256	schema_fingerprint	content_fingerprint	record_count	field_count	manifest_status	blocked_reason	notes
battle_reward	generated_battle_reward_plan	data/runtime/content_engine/battle_reward.json	true	656	51c8243ae44413885e648cd32983761d114804a5ded2a1127a1628eccc20e0d6	6afc401b075e5da7db58fe9f869e74438451368dbea4c686fcae9222b3985775	cf6ffc4e9ad078df51fc26e5b84746aeae3edd429cff92ceae0f48e79c4059bb	0	0	registered		Reward profile fields remain design-layer until runtime reward schema is implemented.
card_pool	generated_card_pool	data/runtime/content_engine/card_pool.json	true	634	e766ec3465f0d289927bc6891301cb03b0a41988e7c99caa3d693d8aef38e1ba	4ea30afa86c66582b9f8cd30ef28eae900e3f38648dc9e08885f4856bef351e9	6f6b56c50f7986651f144e85b0ead1dae50d06bc6b5942cfaf9c87f85be99beb	0	0	registered		design_only card rows are not runtime-ready until explicit runtime card mapping exists.
