step_id	step_name	command	exit_code	status	duration_ms	blocked_reason	notes
56	generated_minimal_playable_round_validator	python3 tools/content_engine/generated_minimal_playable_round_validator.py	0	PASS	67		none
57	generated_playable_loop_probe	godot --headless --path . --script tools/content_engine/generated_playable_loop_probe.gd	0	PASS	7676		none
58	generated_playable_loop_validator	python3 tools/content_engine/generated_playable_loop_validator.py	0	PASS	86		none
59	generated_player_visible_entry_probe	godot --headless --path . --script tools/content_engine/generated_player_visible_entry_probe.gd	0	PASS	1505		none
60	generated_player_visible_entry_validator	python3 tools/content_engine/generated_player_visible_entry_validator.py	0	PASS	47		none
61	generated_visible_ui_mount_probe	godot --headless --path . --script tools/content_engine/generated_visible_ui_mount_probe.gd	0	PASS	1497		none
62	generated_visible_ui_mount_validator	python3 tools/content_engine/generated_visible_ui_mount_validator.py	0	PASS	51		none
63	generated_playable_battle_loop_probe	godot --headless --path . --script tools/content_engine/generated_playable_battle_loop_probe.gd	0	PASS	1413		none
64	generated_playable_battle_loop_validator	python3 tools/content_engine/generated_playable_battle_loop_validator.py	0	PASS	48		none
65	generated_real_node_entry_probe	godot --headless --path . --script tools/content_engine/generated_real_node_entry_probe.gd	0	PASS	1882		none
66	generated_real_node_entry_validator	python3 tools/content_engine/generated_real_node_entry_validator.py	0	PASS	52		none
67	generated_battle_runtime_loadout_probe	godot --headless --path . --script tools/content_engine/generated_battle_runtime_loadout_probe.gd	0	PASS	653		none
68	generated_battle_runtime_loadout_validator	python3 tools/content_engine/generated_battle_runtime_loadout_validator.py	0	PASS	100		none
69	generated_map_route_runtime_flow_probe	godot --headless --path . --script tools/content_engine/generated_map_route_runtime_flow_probe.gd	0	PASS	424		none
70	generated_map_route_runtime_flow_validator	python3 tools/content_engine/generated_map_route_runtime_flow_validator.py	0	PASS	77		none
71	generated_slice_full_integration_acceptance_probe	godot --headless --path . --script tools/content_engine/generated_slice_full_integration_acceptance_probe.gd	0	PASS	713		none
72	generated_slice_full_integration_acceptance_validator	python3 tools/content_engine/generated_slice_full_integration_acceptance_validator.py	0	PASS	87		none
73	git_diff_check	git diff --check	0	PASS	44		none
74	godot_headless_quit	godot --headless --path . --quit	0	PASS	424		none
75	godot_headless_mainvisual	godot --headless --path . --quit scenes/MainVisual.tscn	0	PASS	1205		none
